review,rating,products,brands,sentiment_score,sentiment
"Nice spice, great taste.  Could use a little bit more chunk compared to other Campbell's chunky prod...",4,[],['Campbell'],0.318,Positive
"These bags are fine, with one caveat:  if the bag is for kitchen garbage that will sit for a while, ...",4,[],[],0.114,Positive
I eat gluten free and gave up pizza long ago. When I discovered chebe pizza dough I was so happy. I ...,5,[],[],0.33,Positive
"This stuff tastes just like sugar to me, and you can use it just like sugar and I havne't been able ...",4,[],[],0.229,Positive
"I received this product to review. unfortunately, the sample was only enough for one serving. It is ...",2,[],[],-0.179,Negative
"I love using K Cups!  Although I have tried so many ""bad"" coffees.  I have finally hit on one dark r...",5,[],['K Cups'],0.272,Positive
I love this product.  I originally used it because I learned that it was the healthiest fat for fryi...,5,[],[],0.295,Positive
I love my Keurig and I wanted to try a new coffee for it. I've never tried this so I decided to give...,5,[],[],0.534,Positive
"I was a little skeptical about buying vanilla beans over the internet. I hadn't bought them before, ...",5,[],[],0.281,Positive
Casbah Spanish Pilaf  - We really enjoy this rice and could not find it in the grocery stores around...,5,[],"['Pilaf', 'Amazon']",0.222,Positive
I really wanted my cats to love this food because it's healthy.... but they hate it.  I have 3 cats ...,1,[],[],0.1,Neutral
The first bar was ok...not great.  Then I found the mold growing on the second bar and in the rest o...,1,[],[],0.013,Neutral
I have had this product before and keep buying this one here.  Love the taste and also buy for a fri...,5,[],[],0.5,Positive
I'm not sure how much I like this product because I'm always a little concerned our puppies might ch...,3,[],['CET'],0.085,Neutral
"I'm not a coffee person, but as a stay at home mom of 2 toddlers, i need caffeine!<br />I dilute thi...",5,[],[],0.283,Positive
"First of all, I like this coffee. It is smooth, aromatic and doesn't bite going down.<br /><br />Hav...",4,[],[],0.169,Positive
It takes real innovation to start with corn and sugar to put together scrumptious miniature glazed d...,4,[],['Nut Roasted Nut'],0.186,Positive
"Hate!!! the new cytomax with stevia.  If I wanted weird sweeteners like stevia, I could buy Hammer p...",1,[],[],-0.273,Negative
I had this at my friend's; she microwaved it and put it on ice cream.  Yum!  I'm sending a few to my...,4,[],[],-0.2,Negative
"I'm new to the flax world, so I can't say this is better or worse than any other kind of flax, but i...",5,[],['YUM'],0.22,Positive
"This was a good value, but as a diabetic I cannot drink it due to a very high sugar content of 28 g ...",3,[],[],0.261,Positive
Tankyada spaghettis are first quality. My husband has celiac disease and has to eat a gluten free di...,5,[],[],0.108,Positive
This is one of my favorite mint teas. I have been drinking it for the past 2 years and I am still no...,5,[],[],0.15,Positive
Diamond Almonds<br />Almonds are a good source of magnesium. One ounce contain approximately 20% of ...,5,[],"['RDA', 'RDA)<br />Recommended Dietary Allowance', 'RDA', 'the Food and Nutrition Board', 'FNB', 'the National Academy of Sciences', 'NAS', 'the Recommended Nutrient Intakes', 'RDA', 'Fiber.<br', 'RDA', '/>Here', 'BBQ', 'sugar).<br', 'Wasabi & Soy Sauce']",0.104,Positive
I discovered this small delicious natural candy originally at World's Market. Later they ran out so ...,5,[],['Amazon'],0.212,Positive
"This an excellent product, healthful, tasty and  inexpensive when purchased through the right vendor...",5,[],[],0.482,Positive
"Purchased the Green Mountain Caribou Coffee Obsidian at Target and Amazon.  Love the coffee, but Ama...",5,[],"['the Green Mountain Caribou Coffee Obsidian', 'Target', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon']",0.051,Neutral
"Fine powder, great when added to Whey smoothie. Gonna try in cookies at Christmas.  when mixed with ...",4,[],[],0.319,Positive
"Can't say that I've tried it, but my Grandson really likes it and I like the fact that it's organic.",5,[],[],0.2,Positive
My wife likes her coffee really weak and finding that in a K-cup has been a tough job. I like strong...,4,[],[],-0.009,Neutral
Cranberry. Cranberry is another one of those flavors that brings out very distinct memories for me. ...,5,[],['ASAP'],0.172,Positive
High quality ingredients in this most flavorful Italian topping.  I did not have the problem with th...,5,[],[],0.165,Positive
This hot sauce is the best tasting around. I've been using this sauce for over 10yrs. It's great not...,5,[],[],0.519,Positive
"Weruva is the best food around, and I feed it to all my cats (including the three ferals that live o...",5,[],['Weruva'],0.471,Positive
I already liked regular Stash Earl Grey and so dared to try this doubled bergamot variant. This Earl...,5,[],[],0.143,Positive
"Best mix on the market for making cafe mocha lattes, and we've tried them all",5,[],[],1.0,Positive
I love my chedder cheese and when you go to a grocery store to buy it you have to settle for what ev...,5,[],['Wisconsin Cheese Mart'],0.243,Positive
"Bought this new item, have received my Tassimo fix for the exploding t-discs - this one blew out and...",1,[],"['Tassimo', 'Bosch', 'Tassimo']",-0.213,Negative
As someone who has been trying to add more Omega 3 nutrients to my diet; I have found this bar to be...,5,[],[],0.293,Positive
I agree with the review above. It's really difficult to find this type of authentic flavor in the US...,5,[],['the Prima Taste Curries'],0.233,Positive
We initially found this product in a Costco store in Hawaii.  It is not available in amy of our loca...,5,[],['Costco'],-0.065,Neutral
...these don't taste like you are eating healthy! I went to my nephews wedding and in our gift bags ...,5,[],['Amazon'],0.387,Positive
The Jalapeno Smokehouse almonds taste great and are a nice healthy option for a snack. The flavor is...,5,[],[],0.581,Positive
I was so excited to get my Product 19 shipment last week that I invited my friend over to the office...,5,[],[],0.544,Positive
This is the second Red Palm Oil that I have tried. THis bottle of oil smoked when I turned on the he...,4,[],['Red Palm Oil'],0.167,Positive
I work in a dental office and we have a prize machine for the children after they have a good visit....,4,[],[],0.591,Positive
"Wow, if this is the only thing you can get in Europe, I feel sorry for them. After trying this for m...",1,[],"['Tassimo', 'Vanilla Spiced Chai', 'Maxwell House - House Blend', 'Carte Noire Voluptuoso Classic', 'Tassimo', 'Tassimo']",0.099,Neutral
I have used this product several times....I think that it is great.  I plan to go to their website a...,5,[],[],0.325,Positive
My dogs favorites are the beef and the pizza. preferably the beef. we were able to bribe her with so...,4,[],[],0.379,Positive
is a perfect match for the Keurig Brewer because Green Mountain invented the Keurig Brewer.  The Ext...,5,[],['Extra Bold'],0.357,Positive
"This is a good tasting medium roast coffee.  However, we have had trouble with grounds coming out of...",3,[],[],0.131,Positive
"Orgain Creamy Chocolate Fudge is my favorite, but there is also a Mocha flavor that is also really g...",5,[],"['Orgain Creamy Chocolate Fudge', 'the Creamy Chocolate Fudge']",0.35,Positive
"As I have only tried the lemon, lime and orange flavors, I must say I enjoy the flavor they add to w...",4,[],['WITHOUT'],0.152,Positive
"definitely a keeper. perfect for salads, great in rissoto and pasta. these are just the right size -...",5,[],[],0.669,Positive
I love the Breakfast Blend because it is not real strong and does not have a bitter taste.  Another ...,5,[],['the Nantucket Blend'],0.264,Positive
I love this tea.. It was recomended to me by my Dr. to help during pregnancy.. Doesn't taste too bad...,5,[],[],0.1,Positive
"Kikkoman Pearl Creamy Vanilla Organic Soy milk is the best tasting vanilla soymilk available, in my ...",5,[],['Kikkoman'],0.304,Positive
My dog seems to be thriving on the Blue Buffalo Longevity Dry Food. He previously had a medical prob...,5,[],"['the Blue Buffalo Longevity Dry Food', 'Amazon']",0.146,Positive
"After a year on kitten food, one of my two cats began to get rather chubby.  He had a hard time haul...",5,[],[],0.06,Neutral
This is a perfect dark blend of coffee for anyone who loves a good straight up dark roast with out t...,5,[],"['Folgers', 'Folgers', 'Walmart']",0.124,Positive
We have 3 Belgian Malinois and they did amazingly well on this food. Their coats looked better on Ca...,5,[],"['Amazon', 'Diamond Naturals']",-0.029,Neutral
This was a serious surprise to us... our cats have always refused wet cat food except for people qua...,5,[],[],0.004,Neutral
Have used vinegar for years to dye yarns and fabrics but have now shifted to this product.  Works gr...,5,[],[],0.544,Positive
The 6 smaller packages of graham crackers in this box is definitely more convenient than the larger ...,4,[],['Ideal'],0.319,Positive
"Fabulous product, hearty and tasty.  Just what gluten free consumers are looking for in a bread, piz...",5,[],[],0.501,Positive
This is the BEST beef jerky I've every had.  I've tried many different brands & this is really good....,5,[],[],0.443,Positive
"We grind this a bit, just enough to break the seed when making sourdough rye bread. Only use 3 table...",5,[],[],0.074,Neutral
"This is truly an English product.  Nothing like it in the USA, I'm sorry to say. I adore this stuff,...",5,[],"['Salad Cream', 'Amazon']",0.163,Positive
I really love this product! The Raspberry Lemonade tasted very good. It actually does help me sleep ...,5,[],[],0.512,Positive
I was so forward of making some bourbon chicken food court authentic style and the results were........,1,[],[],0.0,Neutral
This TIger Sauce is the only thing I use for my Salmon Delight. My husband can't have it served ofte...,5,['Salmon Delight'],"['Honey', 'The Original Sauce', 'Ginger Ale', 'Vernor', 'Honey']",0.209,Positive
I really like this coffee it has a great aroma and it has a very good taste i think it tastes really...,4,[],['truvia artificial sugar'],0.394,Positive
"These are the best ""wheat"" free cookeis.<br />This was a great price and availabiltiy.<br />Would lo...",5,[],[],0.605,Positive
I was disappointed with this produce; the nuggets are harder than I thought they would be. On the up...,3,[],[],-0.062,Neutral
"I bought these for a ""candy bar"" for a holiday party.  They were a great hit!  I would purchase agai...",5,[],[],0.588,Positive
"This is a nice little popcorn, but besides the fact that the kernels are smaller than other popcorn,...",3,[],[],0.181,Positive
I PURCHASED THIS FOR MY DAUGHTER WHO CAN'T GET ENOUGH GUACAMOLE. SHE HAS TRIED VARIETY OF MIXES AND ...,5,[],"[""EMERIL'S."", 'NEED', 'AVACODO', 'LOL']",0.195,Positive
The good: the beef is cut thickly and has a steak-y taste.<br />The bad: the jerky is extremely salt...,3,[],[],-0.078,Neutral
I love blow pops. They taste great and last a long time. They have a big problem. It's very difficul...,3,[],[],0.107,Positive
My dogs have been eating liver treats for years.  We also use the treats for training.  The treats a...,5,[],[],-0.01,Neutral
Absoutely delicious. They taste the way nutter butters should taste (or the way I remember as a kid)...,5,[],['PB'],0.377,Positive
"Supposedly increases milk production? Yeah, I didn't see a difference after drinking this for a good...",2,[],[],0.603,Positive
Posting this on behalf of my husband who wrote this and is the coffee drinker in the family...<br />...,5,[],['Compatibility - Exceptional'],0.172,Positive
"I found that this tea really helped increase my milk supply. It tasted a little funny at first, but ...",5,[],['Amazon'],0.141,Positive
"This french vanilla delight is warm and soothing on a cold winter day, or even a not so cold day.  I...",5,[],['Amazon'],0.069,Neutral
"Love this brand... so very good for you.  Try on french toast, pancakes and the like.  Made Challah ...",5,[],['Craker Barrell'],0.341,Positive
"I ordered the Cafe Escapes Milk Chocolate Hot Cocoa KCups for Keurig Brewers, and I reieved a phone ...",5,[],['K-Cups'],0.326,Positive
I have a small collection of finishing salts that I use for different things. This one is my favorit...,5,[],[],0.109,Positive
"This item is and was very useful during the holidays and everyday now, because it saves the use of h...",5,[],[],0.158,Positive
"I like this over cheesecloth for sure, almond milk is now smooth enough for my coffee.",5,[],[],0.3,Positive
we searched everywhere to find this jerky.  It is the best on the market and they ship very quickly....,5,[],[],0.422,Positive
I agree with Shelley's review. Many of the gummy pieces were melted into an unrecognizable mess. Abo...,1,[],[],-0.144,Negative
"Having switched to decaffeinated coffee two years ago, I have always been on the look out for great ...",4,[],[],0.9,Positive
"I'm not typically a chocolate person, but these are the most divine chocolates I have ever had! Thes...",5,[],[],0.262,Positive
I bought 3 doggy products at the same time (all treat dispensing chew toys). This is my recommendati...,3,['3.<br'],['the Tug a Jug'],0.258,Positive
We received these Omaha Steaks brand Coconut shrimp as a gift. I like coconut is some preparations (...,2,[],"['Omaha Steaks', 'Coconut']",0.152,Positive
I purchased this Citric Acid to use in my homemade dishwasher soap & washing detergent.  I have seve...,5,[],"['soap & washing', 'Citrashine']",0.226,Positive
"I am so glad to have found Davidson's rooibos tea at Amazon.  It is great tea, and so much less expe...",5,[],['Amazon'],0.11,Positive
The Crystal Light Green Tea Peach Mango is really great tea with an outstanding flavor. I love this ...,5,[],[],0.471,Positive
"Dude, they're Reese's Cups.  If you need to read a review that probably means you've never had one. ...",5,[],['Chocalate'],0.0,Neutral
OMG!!!  This has to be the best chocolate bar that I have ever come across in my taste tests of diff...,5,[],['OMG'],0.275,Positive
These little squares of flavour store easily and for a long time. Just a few in a pot of soup add a ...,5,[],[],0.238,Positive
"This item seems like a great idea...a convenient, and non-messy way to carry treats for the dog.  It...",1,[],[],0.193,Positive
It is a spicey energy drink! If you like spicey stuff you will more than likey like this stuff! It i...,5,[],[],0.348,Positive
This is the third Ghee I have tried off of Amazon. I have to say that this is my least favorite. Two...,2,[],['Amazon'],0.127,Positive
The smell and taste of the Lickety Stik was an instant success with our dog.<br />But the dispensing...,2,[],['Golden Retriver'],0.341,Positive
As a raw foodist I am always looking for foods that are both delicious and truly nourishing.  These ...,5,[],[],0.265,Positive
The taffy I remember was more elastic and this taffy is extremely soft.  That might be seen as a goo...,2,[],[],0.412,Positive
My mom and son love the flavor of this hot chocolate. Add a little bit of milk afterwards and 1 sple...,5,[],[],0.291,Positive
I ordered this because I really like this brand and I have never had any issue with them.  My son us...,1,[],[],-0.071,Neutral
This is a product that goes beyond the 5 Star review - The bars are absolutely delicious.  I just or...,5,[],[],0.5,Positive
"First, I have to admit that when I was offered this coffee to review, I saw that there were 15 singl...",5,[],['Fair Trade Certified'],0.27,Positive
"First, let me start off by saying I appreciate anyone's right to  make a buck.  You create a good pr...",3,[],"['Sonic & Sleep', 'Gasm']",0.148,Positive
My family has two chihuahuas. I tried the dog treat on the two of them today and got different react...,4,[],[],0.305,Positive
"Azteca Fire isn't as spicy as it claims, and that's not a bad thing. It's complex, chocolatey and de...",5,[],[],0.387,Positive
"This coffee is good, and because it is organic, it is worth the price. It's got a nice, round flavor...",4,[],[],0.268,Positive
This tea is amazing!  What an easy way to help align and acknowledge your chakras!  All of the flavo...,5,[],[],0.764,Positive
A lot of tuna at a great price. Exactly what I was looking for. Haven't noticed any taste difference...,5,[],['Amazon'],0.139,Positive
"This was a gift to our son-in-law and from what I understand, he really enjoyed it -- rich, full-bod...",5,[],[],0.258,Positive
This was my first time ordering from New Grains and I absolutely love this bread!  I practically ate...,5,[],[],0.452,Positive
"Very good baby food, good taste and texture.  The baby gobbled it down and I snuck a taste to find i...",5,[],[],0.559,Positive
These taste great! Even better when heated in the microwave! You can really taste the banana and it ...,5,[],[],0.57,Positive
"I've tried almost every green tea on the market, and this is one of my favorites.  It has a great fl...",5,[],[],0.233,Positive
"BLUE RUNNER BEANS ARE, IN MY...AND MY WIFE'S(AND SHE'S FROM NEW ORLEANS) OPINION, THE VERY BEST RED ...",5,[],"['BLUE RUNNER BEANS ARE', 'SALT', 'POUR', 'YUM']",0.198,Positive
"If you have a difficult dog like me, then this is the item for you! My dog hates people besides us a...",5,[],[],-0.121,Negative
You know this stuff tastes really good... once you get it to dissolve. I suppose if you have a food ...,4,[],['Erythritol'],0.095,Neutral
"Buying Red Vines in the tub like this has been very good, I set them out in my office & people enjoy...",5,[],"['Buying Red Vines', 'Amazon']",0.582,Positive
"The ingredients listed are NOT for this particular recipe! The lamb, barley mix does not include chi...",1,[],[],0.052,Neutral
Yummy Yummy - love this snack!  slight olive oil taste is delcious and salted just right!  I might n...,5,[],[],0.302,Positive
I liked these and will buy again.  They taste good and last in your system so that you don't feel hu...,5,[],[],0.44,Positive
"I don't know what Bahlsen was thinking over the last several months, but I looked high and low for t...",5,[],['Amazon'],0.111,Positive
It seems there is never a place where I can buy a good 100% Kona here in the States. At last I found...,5,[],[],0.479,Positive
The reviews were helpful.I still wanted to try them.You must have something to dip these in.Excellen...,4,[],[],0.0,Neutral
This is not the true Danish brand for sugar cookies. The sugar crystals looked and tasted like sand ...,1,[],['Costco'],0.155,Positive
I love the way it makes the house smell whenever I make this coffee.  My husband drinks a pot of it ...,5,[],[],0.5,Positive
"Of all the brands of Earl Grey, Stash is my favorite.  The double bergamot is the best.  The flavor ...",5,[],[],0.08,Neutral
"I love Zero.  It's the only thing that tastes good in tea.  It may take just a little bit more, but ...",5,[],[],0.296,Positive
I have tried many Keruig flavors from a varity of companies.  Really enjoy this flavor. Try it your ...,5,['Keruig'],[],0.5,Positive
These beans are sweet and tasty and the maple accent makes them perfect on toast for breakfast in th...,5,[],[],0.199,Positive
"On the middle or 'mug' setting of the Keurig B-70, Donut House didn't hold a candle to Emeril's Big ...",3,['the Keurig B-70'],"['Donut House', ""Emeril's Big Easy Bold k-cup"", 'Donut House']",0.241,Positive
I'm having a cup of this coffee as I am writing this review. It was the deal most of all that made m...,4,[],[],0.42,Positive
My son has eaten cereal since he was 3 months old. He ABSOLUTELY LOVES this cereal. Its consistency ...,5,[],['GI'],0.329,Positive
These taste more like a treat than a health bar.  It's hard to believe they're good for you.<br /><b...,5,[],['Kashi'],0.392,Positive
"This product did not meet my expectations. After trying it for only two days, I disposed of it. Didn...",2,[],"['Amazon', 'Splenda']",0.0,Neutral
The taste is great. I like it. But the cover is not good. It is easy to spread some oil on the top o...,4,[],[],0.277,Positive
"Healthy Cereal!<br /><br />I love cereal though I rarely eat it as one is supposed to, generally pre...",4,[],[],0.223,Positive
This product is as close as youre going to get to chopping a coconut off a tree and cutting it open....,4,[],[],0.225,Positive
My dogs refuse to eat the light green hard side of these treats. They do enjoy the soft dark green s...,2,[],[],0.101,Positive
"Well, here I am, buying my SECOND 12-pack of these treats.<br /><br />My Egyptian Mau is absolutely ...",5,[],"['NUTS', 'Amazon', 'Subscribe & Save', 'Amazon']",0.209,Positive
"This tea is best for you if you hane any problems losing wieght with your immune system,this is an a...",5,[],[],1.0,Positive
I bought this as an alternative to the sea salts that I normally purchase.  I find that the salt doe...,2,[],[],0.094,Neutral
This maple syrup is delicious and so flavorful -- Did you know grade B maple syrup has so many vitam...,5,[],[],0.4,Positive
"The strips of jerky are thinner than average and it tasted good, it was a little too salty for my ta...",4,[],[],0.184,Positive
So tasty and savory on just about every vegetable/meat/fish you can come up with!<br /><br />Natural...,5,[],"['caramel', 'MSG', 'Kikkoman', 'Kikkoman Soy Sauce', 'MSG']",0.031,Neutral
"After reading over the reviews for several different coffee brands and flavors, I decided to go with...",5,[],[],0.368,Positive
This Black Pudding has me floored. You cannot get any closer to buying real Black Pudding unless you...,5,[],['TESCO'],0.122,Positive
Great value and just as good as the other top brands.  It deserves a chance.  Give them a try and yo...,5,[],[],0.225,Positive
My dogs love this treat and it is great for them because they have food allergies and cannot eat mos...,5,[],[],0.485,Positive
"Okay, I love this stuff; it's great to use in numerous dishes as a flavor enhancer. So, why am I wri...",5,[],"['MSG', 'MSG', 'MSG']",0.148,Positive
For those of you who are freaked out about a little expiration date on the coffee... are you SERIOUS...,5,[],[],0.122,Positive
"I love wehani, have eaten it for years and go out of my way to find/buy it.  Have never had a guest ...",5,[],[],0.246,Positive
I had used product by this manufacturer before.  I used their coconut oil for frying and seasoning f...,5,[],[],0.171,Positive
"I'm hesitant to give this too good of a review, because I don't want the whole world buying it and t...",5,[],[],0.205,Positive
"Superior flavor, not too green, not too black. Loved it from the first cup.I put a hint of Splenda/S...",5,[],"['Splenda/Sugar', 'Amazon']",0.223,Positive
I love the honey stinger waffles. Great price. And will deff will order more when I run out. Love th...,5,[],[],0.5,Positive
"I LOVE this candy! Since my weight-loss surgery, I can't eat more than 2 grams of sugar at one time....",5,[],[],0.213,Positive
Bob's Red Mill Baking Soda is an excellent product for baking with or making your own toothpaste.<br...,5,[],"['the Specific Carbohydrate Diet', 'ASD']",0.359,Positive
"There is nothing metallic about this color. It is gold in the fact that it is yellow, but that is it...",1,[],[],0.0,Neutral
"Although this is an herbal tea (from the South African red bush), it is full-bodied and rich enough ...",5,[],[],0.117,Positive
Love these ginger candies I just can't get enough of them.  Not all ginger candy is the same...  Tin...,5,[],[],0.375,Positive
My little Chi-hua-hua is very picky and she just loves these.  I like them because they provide her ...,5,[],[],0.145,Positive
We love these candies.  Probably the very best sugar free hard candy made.  Try them you will love t...,5,[],[],0.456,Positive
"We bought a case of these based on the positive reviews, but quite frankly no one who has tried it h...",2,[],[],0.252,Positive
The cheese arrived on time and could not wait to a taste test. It was great.  If you like smoked Gud...,5,[],[],0.68,Positive
"In my opinion these are a poor substitute for a ""real"" pretzel. They have a potato-y taste and an od...",2,[],['Snyder'],0.152,Positive
"The nutritional benefits of extra virgin olive oil are legendary. But the robust flavor of Pompeian,...",5,[],[],0.5,Positive
"I used to love this tea, it is not as strong as it used to be...  The price has been increasing........",3,[],[],0.127,Positive
"Besides fries, try making garlic bread. Just spread texas toast with butter, sprinkle on and put in ...",5,[],[],0.14,Positive
Recevied the Greenies before the expected delivery date.  Great value compared to the pest food stor...,5,[],[],0.533,Positive
"These were tasty cookies. Tart and just a little sweet. Part of the purchase goes to charity, so I'm...",4,[],[],0.263,Positive
I just bought these for the first time. WOW! They are wonderful--not at all  something that simulate...,5,[],['WOW'],0.249,Positive
I discovered this product when I bought a fresh-made sandwich from a grocery store deli.  I asked th...,5,[],"['Heinz Southwest Style Chipotle Sauce', 'the deli department', 'Heinz']",0.317,Positive
I purchased these on Auto-Ship. Unfortunately I didn't think the order went thru & pushed it again. ...,1,[],[],-0.026,Neutral
"I tried this on my mom's dog while he went through his resume of tricks, but since his mouth is bigg...",3,[],['the Lickety Stik'],-0.15,Negative
Wife loves it!  Great special gift that takes the place of a box of chocolates.,5,[],[],0.579,Positive
This is the third Taco Bell sauce I've tried and I'm not disappointed in its claim of boldness.  I t...,5,[],"['Taco Bell', 'mayo', 'Taco Bell']",0.175,Positive
"*Chocolates*: I've always been more inclined to dark chocolates, but this place's white chocolate ga...",5,[],[],0.195,Positive
"I recently ran out of my Senseo Pads that I normally purchase in Germany. As I was going to America,...",3,[],"['Coffee (Starbucks', 'Decaffeinated']",0.167,Positive
These popchips both taste and smell horrible. I was very let down as I enjoy most if not all the var...,3,[],[],-0.016,Neutral
I bought these based on the good reviews of others and was disappointed.  They are way over seasoned...,2,[],[],0.142,Positive
"Good flavor, not too sweet or artificial tasting. Makes it easy to take down when chugging along on ...",4,[],[],0.047,Neutral
"I really don't know how to describe these.  They are good, great actually.  But they are not a Heath...",5,[],[],0.425,Positive
"Having been out of the US for a while, there are some things I have definately missed.  I've even hu...",5,[],['Amazon'],0.232,Positive
Have always enjoyed Balsen products. Found  the nuss-dessert cookies while on vacation at Sanibel Is...,5,[],['Amazon'],0.448,Positive
"When my friends recommended me to try some peanut butter & chocolate, I didn't know it would be this...",4,[],[],0.25,Positive
I'm no connoisseur of balsamic vinegar but this stuff tastes great. No need to say much more!! But a...,5,[],[],0.526,Positive
"Upon opening the waxed cardboard box the Ghee was shipped in, I found nothing but a gooey mess.  One...",1,[],['Amazon'],-0.035,Neutral
"I love this product.  I am on a low-carb diet, and if you are low-cal or low-carb this one will cut ...",5,[],[],0.197,Positive
"Before purchasing anything from Lous bonsai, check out the reviews on the Internet, not the ones he ...",1,[],[],-0.47,Negative
"I have two cats, one under 1 year old and the other is 4 years old. After researching about proper c...",5,[],"['Wellness', 'Wellness']",0.086,Neutral
"THE YAMAMOTOYAMA RASBERRY FLAVORED ICED GREEN TEAIS AN AWESOME PRODUCT, HAS A NICE SMOOTH TASTE AND ...",5,[],['VANILLA FLAVORED ICE CREAM'],0.436,Positive
I found RJ's Licorise while on a trip to New Zealand earlier this year.  WOW! This product is incred...,5,[],['WOW'],0.197,Positive
"The coffee is smooth and has a good flavor, however the chocolate is very subtle - in fact it is bar...",4,[],[],0.179,Positive
"Made aware of GREEN Darjeeling by a present; looking for a replacement, found this online; Unbelieva...",5,[],['Unbelievably'],-0.066,Neutral
I send my son to school with this coconut water as a healthier choice than the juice box for school ...,5,[],['Amazon'],0.364,Positive
"If you've never tried Almond Rocha, you're missing out on one of the joys of life.  Buttercrunch tof...",4,[],[],0.099,Neutral
With four cats in the household hairballs are a given. It got to be an almost daily routine to hear ...,5,['Subscribe'],"['Temptations', 'Amazon']",0.188,Positive
"Very, very good.  Refreshing and thirst quenching.  I Love It.  If you like Grapefruit, you'll like ...",5,[],"['Grapefruit', 'SodaStream']",0.652,Positive
"Love the taste of this sauce. We have been using this for over a year. Great price, good quality, us...",5,[],[],0.6,Positive
First let me say that I wish I could tolerate apple juices that taste more like cider.  I can't; tha...,5,[],['Anyway'],0.325,Positive
"Great tea to boost your immune system, it also works as stress reliever, the tulsi or holy basil is ...",5,[],[],0.329,Positive
I am drinking two cups of this a day.  Tastes good.  It would be nice if it came without the string ...,5,[],[],0.044,Neutral
"Similac travel bottles are an excellent, convenient way to travel with your child without the worry ...",5,[],[],0.44,Positive
I bought this tea thinking it would taste like a rose. I was only half right. While the rose flavor ...,4,[],[],0.222,Positive
Awesome variety! Wish there were a few more k cups in the pack but they all taste great! I'd recomme...,4,[],[],0.43,Positive
